current_time,command,category,wearerID,devicePos,dataID,subid,c_leftPower,c_rightPower,playType
0.55,99,1,0,0,0,0,150,150,0
1.23,99,1,0,0,0,0,125,125,0
1.83,99,1,0,0,0,0,100,100,0
5.3,99,1,0,0,2,0,200,200,0
5.95,99,1,0,0,0,0,50,50,0
6.4,99,1,0,0,2,0,70,70,0
7.02,99,1,0,0,2,0,130,130,0
7.47,99,1,0,0,0,0,100,100,0
8.42,99,1,0,0,0,0,70,70,0
8.93,99,1,0,0,0,0,50,50,0
9.33,99,1,0,0,0,0,30,30,0
10.13,99,1,0,0,0,0,100,100,0
12.5,99,1,0,0,2,0,70,70,0
13,99,1,0,0,0,0,150,150,0
13.37,99,1,0,0,2,0,180,180,0
13.95,99,1,0,0,2,0,110,110,0
14.8,99,1,0,0,0,0,150,150,0
15.52,99,1,0,0,2,0,100,100,0
17.42,99,1,0,0,0,0,130,130,0
18.53,99,1,0,0,2,0,70,70,0
19.6,99,1,0,0,0,0,150,150,0
20.03,99,1,0,0,2,0,200,200,0
21.18,99,1,0,0,0,0,150,150,0
21.5,99,1,0,0,2,0,70,70,0
23.2,99,1,0,0,0,0,150,150,0
24.05,99,1,0,0,2,0,120,120,0
25.27,99,1,0,0,0,0,150,150,0
29.1,99,1,1,0,4,0,150,150,0
29.2,99,1,1,0,3,0,150,150,0
29.6,99,1,1,0,3,0,150,150,0
29.8,99,1,1,0,4,0,150,150,0
30.05,99,1,1,0,3,0,150,150,0
30.2,99,1,1,0,4,0,150,150,0
30.53,99,1,1,0,3,0,150,150,0
30.65,99,1,1,0,4,0,150,150,0
30.93,99,1,1,0,3,0,150,150,0
31.08,99,1,1,0,4,0,150,150,0
31.37,99,1,1,0,3,0,150,150,0
31.67,99,1,1,0,4,0,150,150,0
32.05,99,1,1,0,3,0,150,150,0
32.37,99,1,1,0,5,0,150,150,0
32.58,99,1,1,0,3,0,150,150,0
32.8,99,1,1,0,4,0,150,150,0
33.28,99,1,1,0,3,0,150,150,0
35,99,1,2,0,8,0,40,40,1
35.03,1,1,2,99,96,99,99,99,99
38.37,2,1,2,99,96,99,99,99,99
38.47,99,1,2,0,8,0,40,40,2
40.22,99,1,1,0,4,0,150,150,0
40.32,99,1,1,0,3,0,150,150,0
40.72,99,1,1,0,3,0,150,150,0
40.92,99,1,1,0,4,0,150,150,0
41.15,99,1,1,0,3,0,150,150,0
41.27,99,1,1,0,4,0,150,150,0
41.47,99,1,1,0,6,0,50,50,0
41.95,99,1,1,0,3,0,150,150,0
42.23,99,1,1,0,4,0,150,150,0
42.58,99,1,1,0,3,0,150,150,0
42.92,99,1,1,0,5,0,150,150,0
43.23,99,1,1,0,3,0,150,150,0
43.32,99,1,1,0,4,0,150,150,0
43.47,99,1,1,0,3,0,150,150,0
43.75,99,1,1,0,5,0,150,150,0
44.12,99,1,1,0,3,0,150,150,0
44.18,99,1,1,0,4,0,150,150,0
44.38,99,1,1,0,3,0,150,150,0
44.72,99,1,1,0,4,0,150,150,0
45.12,99,1,1,0,3,0,150,150,0
45.18,99,1,1,0,4,0,150,150,0
45.33,99,1,1,0,3,0,150,150,0
45.78,99,1,1,0,3,0,150,150,0
46.6,99,1,2,0,8,0,40,40,1
